,link,datetime
151,https://www.thenews.com.pk/print/718924-salient-features-of-draft-anti-rape-act-2020,"September 23, 2020"
152,https://www.thenews.com.pk/print/274781-pfa-ex-worker-held-for-blackmail,"January 30, 2018"
153,https://www.thenews.com.pk/print/730026-five-sentenced-to-death-in-bd,"October 16, 2020"
154,https://www.thenews.com.pk/print/607244-man-allegedly-commits-suicide,"February 1, 2020"
155,https://www.thenews.com.pk/latest/732241-shaniera-akram-speaks-up-against-sexual-abuse-in-pakistan,"October 20, 2020"
156,https://www.thenews.com.pk/print/216008-Honor-killing,"July 12, 2017"
157,https://www.thenews.com.pk/latest/720012-no-evidence-proving-clifton-gang-rape-victim-found-partially-conscious-police,"September 25, 2020"
158,https://www.thenews.com.pk/print/657533-17-year-old-boy-wounded-for-resisting-mugging-bid,"May 12, 2020"
159,https://www.thenews.com.pk/print/619943-boy-hit-to-death-by-bus,"February 26, 2020"
160,https://www.thenews.com.pk/print/275184-court-moved-for-strict-laws-in-child-abuse-cases,"January 31, 2018"
161,https://www.thenews.com.pk/print/168120-PurAzam-campaign-launched,"November 28, 2016"
162,https://www.thenews.com.pk/print/448412-3-19-million-pakistanis-victim-of-modern-slavery,"March 25, 2019"
163,https://www.thenews.com.pk/latest/753697-girl-like-me-shakira-takes-internet-by-storm-with-new-music-video,"December 5, 2020"
164,https://www.thenews.com.pk/print/643458-mohr-prepares-policy-paper-on-gender-impact-of-covid-19,"April 13, 2020"
165,https://www.thenews.com.pk/print/51401-1000-girls-forcibly-converted-to-islam-in-pakistan-every-year,"July 15, 2015"
166,https://www.thenews.com.pk/print/175859-No-let-up-in-gender-based-violence-in-Karachi-in-2016,"January 1, 2017"
167,https://www.thenews.com.pk/print/657429-call-to-combat-domestic-violence-during-covid-19-pandemic,"May 12, 2020"
168,https://www.thenews.com.pk/print/709819-police-welfare-centres-to-provide-relief-to-cops-ig,"September 4, 2020"
169,https://www.thenews.com.pk/print/456407-man-allegedly-kills-brother-over-monetary-dispute,"April 11, 2019"
170,https://www.thenews.com.pk/print/719130-powerless-in-karachi,"September 24, 2020"
171,https://www.thenews.com.pk/print/613978-child-protection,"February 15, 2020"
172,https://www.thenews.com.pk/print/199600-Discussion-highlights-need-to-understand-gravity-of-gender-based-violence,"April 20, 2017"
173,https://www.thenews.com.pk/latest/405828-gully-boy-to-be-premiered-at-berlin-international-film-festival,"December 14, 2018"
174,https://www.thenews.com.pk/print/671048-woman-axed-to-death-for-honour,"June 11, 2020"
175,https://www.thenews.com.pk/print/725607-india-police-book-hundreds-over-foreign-involvement-in-gang-rape-protests,"October 7, 2020"
176,https://www.thenews.com.pk/print/640239-man-kills-daughter-in-the-name-of-honour,"April 6, 2020"
177,https://www.thenews.com.pk/print/170265-Religious-parties-threaten-to-lay-siege-to-Sindh-Assembly,"December 7, 2016"
178,https://www.thenews.com.pk/print/494598-pti-on-the-move-to-save-itself-from-blackmailing-of-allies,"July 6, 2019"
179,https://www.thenews.com.pk/latest/743783-kashmore-case-pm-imran-khan-hails-police-hero,"November 14, 2020"
